,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,tran_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,dt_obj,pl_T,pl_rprs2,scale,TSM,efficiency
0,55 Cnc e,55 Cnc,0,2,5,Radial Velocity,2004,McDonald Observatory,1,Published Confirmed,0,<a refstr=KNAPP_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...23K/abstract target=ref>Knapp et al. 2020</a>,0.737,7e-06,-7e-06,0.0,0.01544,9e-05,-9e-05,0.0,1.8969999999999998,0.044000000000000004,-0.046,0.0,0.16899999999999998,0.004,-0.004,0.0,7.74,0.37,-0.3,0.0,0.02435,0.00116,-0.0009400000000000001,0.0,Mass,0.04,0.027,-0.027,0.0,,,,,1958.0,15.0,-15.0,0.0,83.3,0.9,-0.8,0.0,0,1.584,0.084,-0.0672,0.0,3.523,0.042,-0.04,0.0,0.01821,0.00027,-0.00029,0.0,0.0154,0.0023,-0.0023,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,G8 V,5250.0,123.3,-171.85,0.0,0.96,0.08,-0.05,0.0,0.9,0.14,-0.09,0.0,0.35,0.1,-0.1,0.0,[M/H],4.42,0.05,-0.14,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.329815399999998,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2020-06-16,2020-07,2020-06-24,2020-07-01,1958.0,0.0003316041,1.26,265.45496511558815,0.3
1,AU Mic b,AU Mic,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,8.46321,4e-05,-4e-05,0.0,0.066,0.007,-0.006,0.0,4.203,0.20199999999999999,-0.20199999999999999,0.0,0.375,0.018000000000000002,-0.018000000000000002,0.0,57.2094,,,1.0,0.18,,,1.0,Msini,0.1,0.17,-0.09,0.0,,,,,,,,,,,,,0,3.5,0.63,-0.59,0.0,19.1,1.8,-1.6,0.0,0.0514,0.0013,-0.0013,0.0,,,,,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,,3700.0,100.0,-100.0,0.0,0.75,0.03,-0.03,0.0,0.5,0.03,-0.03,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.29113689999997,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,5.436,0.017,-0.017,4.831,0.016,-0.016,4.529,0.02,-0.02,7.840380000000001,0.000731,-0.000731,2020-06-12,2020-06,2020-06-24,2020-06-01,598.6459415637805,0.00264196,1.15,130.06111607909858,0.11384450294208731
2,BD+20 594 b,BD+20 594,0,1,1,Transit,2016,K2,1,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,41.688644,0.003353,-0.003419,0.0,0.241,0.019,-0.017,0.0,2.355,0.31,-0.16699999999999998,0.0,0.21,0.027999999999999997,-0.015,0.0,16.3,6.0,-6.1,0.0,0.051289999999999995,0.01888,-0.019190000000000002,0.0,Mass,0.0,,,0.0,,,,,546.0,19.0,-18.0,0.0,89.52600000000001,0.32899999999999996,-0.535,0.0,0,,,,,54.721028000000004,5.823183,-12.995528,0.0,0.02259,0.00185,-0.0009400000000000001,0.0,,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,G,5703.0,50.0,-50.0,0.0,0.96,0.1,-0.05,0.0,0.96,0.03,-0.03,0.0,-0.06,0.08,-0.08,0.0,[Fe/H],4.38,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.599020499999998,179.461,1.257,-1.24,10.849,0.012,-0.012,9.770000999999999,0.022,-0.022,9.432,0.022,-0.022,9.368,0.018,-0.018,10.8644,0.00024900000000000004,-0.00024900000000000004,2018-04-25,2018-03,2018-02-15,2018-03-01,546.0,0.0005103080999999999,1.26,6.709035891154435,1.0
3,CoRoT-1 b,CoRoT-1,0,1,1,Transit,2008,CoRoT,1,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,1.5089682,5e-07,-5e-07,0.0,0.02752,0.00022,-0.00022999999999999998,0.0,19.223,0.336,-0.336,0.0,1.715,0.03,-0.03,0.0,390.9309,31.783,-31.783,0.0,1.23,0.1,-0.1,0.0,Mass,0.036,0.62,-0.48,1.0,,,,,1834.0,46.0,-46.0,0.0,85.1,0.5,-0.5,0.0,0,,,,,4.8239,0.047,-0.0461,0.0,0.1381,0.0007,-0.0015,0.0,,,,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,G0 V,6298.0,66.0,-66.0,0.0,1.23,0.02,-0.02,0.0,1.22,0.03,-0.03,0.0,0.06,0.07,-0.07,0.0,[Fe/H],4.25,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.909,23.491,-23.491,13.623,0.114,-0.114,12.462,0.029,-0.029,12.218,0.026,-0.026,12.149,0.027,-0.027,13.457,0.00047699999999999994,-0.00047699999999999994,2019-03-18,2017-06,2019-03-21,2017-06-01,1834.0,0.01907161,1.15,75.72984256026375,1.0
4,CoRoT-10 b,CoRoT-10,0,1,1,Transit,2010,CoRoT,1,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,13.2406,0.0002,-0.0002,0.0,0.1055,0.0019,-0.002,0.0,10.873,0.785,-0.785,0.0,0.97,0.07,-0.07,0.0,867.6759,44.4962,-44.4962,0.0,2.73,0.14,-0.14,0.0,Mass,0.524,0.018,-0.018,0.0,,,,,647.0,24.0,-24.0,0.0,88.55,0.2,-0.2,0.0,0,2.98,0.06,-0.06,0.0,30.675,2.328,-2.022,0.0,0.1269,0.0038,-0.0038,0.0,,,,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,K1 V,5075.0,75.0,-75.0,0.0,0.79,0.05,-0.05,0.0,0.89,0.05,-0.05,0.0,0.26,0.07,-0.07,0.0,[Fe/H],4.65,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.386,3.9865,-3.9865,15.293,0.137,-0.137,12.527,0.025,-0.025,11.929,0.028,-0.028,11.782,0.021,-0.021,14.6645,0.00032900000000000003,-0.00032900000000000003,2019-03-18,2017-06,2019-03-21,2017-06-01,647.0,0.016103610000000004,1.15,5.579285388865342,1.0
5,CoRoT-11 b,CoRoT-11,0,1,1,Transit,2010,CoRoT,1,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,2.994325,2.1e-05,-2.1e-05,0.0,0.04407,0.00056,-0.00059,0.0,16.029,0.336,-0.336,0.0,1.43,0.03,-0.03,0.0,832.7146,187.5197,-197.0546,0.0,2.62,0.59,-0.62,0.0,Mass,0.36,,,1.0,,,,,1715.0,36.0,-36.0,0.0,83.17,0.15,-0.15,0.0,0,1.9176,0.024,-0.0288,0.0,7.062,0.122,-0.118,0.0,0.0999,0.0006,-0.0005,0.0,,,,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,F6 V,6440.0,120.0,-120.0,0.0,1.37,0.03,-0.03,0.0,1.27,0.05,-0.05,0.0,0.03,0.08,-0.08,0.0,[Fe/H],4.27,0.3,-0.3,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.037,24.947,-23.209,12.897,0.114,-0.114,11.589,0.021,-0.021,11.416,0.029,-0.029,11.248,0.022,-0.022,12.841,0.000336,-0.000336,2019-03-18,2017-06,2019-03-21,2017-06-01,1715.0,0.009980010000000001,1.15,21.685255794694484,1.0
6,CoRoT-12 b,CoRoT-12,0,1,1,Transit,2010,CoRoT,1,Published Confirmed,0,<a refstr=RAETZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.483..824R/abstract target=ref>Raetz et al. 2019</a>,2.82805268,6.5e-07,-6.5e-07,0.0,0.0392,0.0013,-0.0013,0.0,15.065,0.8290000000000001,-0.7959999999999999,0.0,1.344,0.07400000000000001,-0.071,0.0,277.46558999999996,25.744229999999998,-24.79074,0.0,0.873,0.081,-0.078,0.0,Mass,0.05,0.063,-0.042,1.0,,,,,1417.0,20.0,-20.0,0.0,85.71,0.39,-0.36,0.0,0,2.57424,0.02136,-0.0216,0.0,8.02,0.26,-0.24,0.0,0.1314,0.0015,-0.0015,0.0,,,,,<a refstr=RAETZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.483..824R/abstract target=ref>Raetz et al. 2019</a>,,5675.0,80.0,-80.0,0.0,1.05,0.05,-0.05,0.0,1.0,0.1,-0.1,0.0,0.16,0.1,-0.1,0.0,[Fe/H],4.38,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.37,55.745,-55.745,15.588,0.183,-0.183,14.024,0.032,-0.032,13.63,0.031,-0.031,13.557,0.042,-0.042,15.3453,0.0007700000000000001,-0.0007700000000000001,2019-10-04,2019-02,2019-10-10,2019-02-01,1417.0,0.017265959999999997,1.15,28.48916916064812,1.0
7,CoRoT-13 b,CoRoT-13,0,1,1,Transit,2010,CoRoT,1,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,4.03519,3e-05,-3e-05,0.0,0.05107,0.0003,-0.00031,0.0,9.92,0.157,-0.157,0.0,0.885,0.013999999999999999,-0.013999999999999999,0.0,423.03173,23.20159,-23.20159,0.0,1.331,0.073,-0.073,0.0,Mass,0.067,,,1.0,,,,,1432.0,39.0,-39.0,0.0,88.02,0.34,-0.36,0.0,0,3.14,0.01,-0.01,0.0,8.6133,0.412,-0.376,0.0,0.0909,0.0014,-0.0014,0.0,,,,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,G0 V,5945.0,90.0,-90.0,0.0,1.01,0.03,-0.03,0.0,1.09,0.02,-0.02,0.0,0.01,0.07,-0.07,0.0,[Fe/H],4.26,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.93,62.12,-56.15,15.005,0.297,-0.297,13.71,0.024,-0.024,13.406,0.029,-0.029,13.376,0.039,-0.039,14.9147,0.0005,-0.0005,2019-03-18,2017-06,2019-03-21,2017-06-01,1432.0,0.008262809999999999,1.15,6.876520025197126,1.0
8,CoRoT-14 b,CoRoT-14,0,1,1,Transit,2010,CoRoT,1,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,1.51214,0.00013,-0.00013,0.0,0.026910000000000003,0.0007,-0.00073,0.0,12.218,0.785,-0.785,0.0,1.09,0.07,-0.07,0.0,2358.2986,149.3801,-149.3801,0.0,7.42,0.47,-0.47,0.0,Mass,0.036,,,1.0,,,,,1936.0,95.0,-95.0,0.0,79.6,0.8,-0.8,0.0,0,1.662,0.044,-0.044,0.0,4.854,0.493,-0.41,0.0,0.0925,0.0019,-0.0019,0.0,,,,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,F9 V,6040.0,100.0,-100.0,0.0,1.21,0.08,-0.08,0.0,1.13,0.09,-0.09,0.0,0.05,0.15,-0.15,0.0,[Fe/H],4.34,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h53m41.81s,103.42420229999999,-05d32m09.74s,-5.5360385,1744.6,173.03,-144.9,15.932,0.206,-0.206,14.321,0.036,-0.036,14.007,0.047,-0.047,13.806,0.053,-0.053,15.8116,0.000769,-0.000769,2019-03-18,2017-06,2019-03-21,2017-06-01,1936.0,0.00855625,1.15,1.6052746404288663,1.0
9,CoRoT-16 b,CoRoT-16,0,1,1,Transit,2011,CoRoT,1,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,5.35227,0.0002,-0.0002,0.0,0.0618,0.0015,-0.0015,0.0,13.115,1.569,-1.7930000000000001,0.0,1.17,0.14,-0.16,0.0,168.13207,31.147340000000003,-30.51168,0.0,0.529,0.098,-0.096,0.0,Mass,0.37,0.11,-0.12,0.0,,,,,,,,,85.01,0.94,-1.2,0.0,0,2.39,0.09,-0.09,0.0,11.2,1.21,-1.09,0.0,0.101,0.0046,-0.0046,0.0,,,,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,G5 V,5650.0,100.0,-100.0,0.0,1.19,0.14,-0.13,0.0,1.1,0.08,-0.08,0.0,0.19,0.06,-0.06,0.0,[M/H],4.36,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h34m05.92s,278.52466580000004,-06d00m09.37s,-6.0026025999999995,732.409,35.344,-32.282,16.052,0.217,-0.217,13.496,0.029,-0.029,12.98,0.03,-0.03,12.847,0.037,-0.037,15.6507,0.000998,-0.000998,2019-03-18,2017-06,2019-03-21,2017-06-01,1193.7803848040296,0.010201000000000002,1.15,25.980297511428496,1.0
