,pl_name,pl_orbper,pl_rade,pl_ratror,pl_rprs2,pl_ratdor,sy_kmag,pl_Teq,pl_Trock,ed_1.4_Trock,ed_1.4_Teq,delta_Na,efficiency_kmag,noise,ESM,TSM,disc_facility
0,55 Cnc e,0.737,1.897,0.01811612958770543,0.00032819415123853615,3.52,4.015,1958.0,2502.1,33.4,10.5,2582.755640714365,0.3,9.940293399816978,68.03321641390869,262.72524063534104,McDonald Observatory
1,AU Mic b,8.46321,4.203,0.05137684691677447,0.0026395803991096788,19.1,4.529,598.6,765.0,0.1,0.0,422479.5490150535,0.3,12.595029914070885,54.88145900308615,129.943970646307,Transiting Exoplanet Survey Satellite (TESS)
2,BD+20 594 b,41.688644,2.355,0.022489976372718126,0.0005057990372454196,54.721028,9.368,546.0,697.7,0.0,0.0,980531.0254865511,1.0,64.05600223832103,0.49632014351960096,6.649755107925732,K2
3,CoRoT-1 b,1.5089682,19.223,0.14327993481444085,0.02052913972043042,4.8239,12.149,1834.0,2343.6,1065.6,312.3,53084.40695576471,1.0,230.54718864066453,73.40220424898125,81.51742401013092,CoRoT
4,CoRoT-10 b,13.2406,10.873,0.12618031797497464,0.01592147264426571,30.675,11.782,647.0,826.8,0.4,0.0,4440396.570464756,1.0,194.69725596288143,9.99834206824655,5.51618175634972,CoRoT
5,CoRoT-11 b,2.994325,16.029,0.10726429495472185,0.011505628972133568,7.062,11.248,1715.0,2191.6,419.8,113.3,181778.0379686804,1.0,152.25088672017463,54.63344733980276,25.000226186102434,CoRoT
6,CoRoT-12 b,2.82805268,15.065,0.1315373710616919,0.017302079985821218,8.02,13.557,1417.0,1810.8,304.6,62.7,133493.05473000748,1.0,440.92003242032837,23.938454012672246,28.54876783840139,CoRoT
7,CoRoT-13 b,4.03519,9.92,0.09004500346541769,0.008108102649087083,8.6133,13.376,1432.0,1829.9,137.2,28.7,191903.1791111137,1.0,405.6577996764769,11.758288779580914,6.747768644420142,CoRoT
8,CoRoT-14 b,1.51214,12.218,0.09257294312049105,0.008569749797989672,4.854,13.806,1936.0,2474.0,612.7,191.1,181842.5560341469,1.0,494.4926385283724,16.29611329747625,1.6078073952412826,CoRoT
9,CoRoT-16 b,5.35227,13.115,0.10103937573304442,0.010208955448523325,11.2,12.847,1193.8,1525.5,62.6,9.6,175844.01685756186,1.0,317.95073309986526,14.419134062846796,26.000558752431605,CoRoT
10,CoRoT-17 b,3.7681,11.433,0.06592230738146186,0.004345750610495941,6.369,12.472,1610.0,2057.4,147.9,36.7,159495.58106194512,1.0,267.52220211275477,12.127626273478828,3.312822352053806,CoRoT
11,CoRoT-18 b,1.90009,12.846,0.13383033537182956,0.017910558665736376,7.013,13.014,1487.0,1900.2,452.4,100.3,264410.05998429516,1.0,343.3680093370819,36.34211640905106,9.150364405777786,CoRoT
12,CoRoT-19 b,3.89713,14.46,0.08034404066538609,0.006455164870441213,6.993,11.837,1630.0,2083.0,206.2,52.1,107623.66064796943,1.0,199.6916156141927,22.975912345819935,19.446684264848294,CoRoT
13,CoRoT-2 b,1.7429975,15.85,0.16145670228227366,0.026068266711866753,6.711,10.31,1535.0,1961.6,725.0,168.4,227759.18001208277,1.0,98.84616643577587,186.3315046998277,57.51566152716754,CoRoT
14,CoRoT-20 b,9.24318,11.209,0.08858867389828157,0.007847953143056073,16.5,12.513,1024.0,1308.6,14.5,1.6,1467099.9248701455,1.0,272.62132904320924,9.090791156903686,2.3625836655785406,CoRoT
15,CoRoT-21 b,2.72474,14.572,0.06850998492571585,0.004693618034521813,4.6,13.813,2044.1,2612.1,397.6,131.5,68515.32524199283,1.0,496.08926653532285,9.363194425026348,3.6739734945518543,CoRoT
16,CoRoT-22 b,9.75598,4.88,0.03924499620475654,0.0015401697271113554,17.3,11.988,885.0,1130.9,0.8,0.1,73869.39482343433,1.0,214.07198231948556,1.633209554708457,24.54319193537841,CoRoT
17,CoRoT-23 b,3.6313,11.769,0.0670166951914913,0.004491237434389252,5.952,12.364,1710.0,2185.2,193.5,52.0,154260.49259806858,1.0,254.54222185668803,14.058981506084022,3.2456936056305508,CoRoT
18,CoRoT-24 b,5.1134,3.7,0.03944324103880649,0.0015557692636453885,10.9,12.924,1070.0,1367.3,5.9,0.7,20062.15426142276,1.0,329.42748500036515,2.002948269416235,31.428753834835025,CoRoT
19,CoRoT-24 c,11.759,5.0,0.05330167707946823,0.002841068779483909,18.0,12.924,850.0,1086.2,1.5,0.1,157378.16681425628,1.0,329.42748500036515,2.2131898000174584,11.2686488367777,CoRoT
20,CoRoT-25 b,4.86069,12.106,0.09326593081389521,0.008698533850582288,10.2,12.846,1330.0,1699.6,92.4,17.2,99347.47229271804,1.0,317.8043450858699,13.876744440090091,45.0189186431443,CoRoT
21,CoRoT-26 b,4.20474,14.123,0.0723341277584652,0.005232226038577967,6.28,13.261,1600.0,2044.6,182.7,45.0,59097.10726177007,1.0,384.73334699518733,10.368539002002686,15.158972214738657,CoRoT
22,CoRoT-27 b,3.57532,11.287,0.09581292316824515,0.009180116246044048,9.48,12.985,1500.0,1916.8,203.8,45.8,896836.257551802,1.0,338.81281677792913,17.40992424310428,1.2544260117831165,CoRoT
23,CoRoT-28 b,5.20851,10.705,0.05513609322434926,0.003039988776044132,7.29,11.032,1348.7,1723.5,49.8,9.5,74020.52511111571,1.0,137.83510159008136,13.84250289671227,18.793443100119838,CoRoT
24,CoRoT-29 b,2.85057,10.088,0.10276184306773353,0.010559996390677494,8.53,13.048,1273.5,1627.4,115.9,20.0,150211.85240035623,1.0,348.78663149245875,16.700633534623357,13.463255847804925,CoRoT
25,CoRoT-3 b,4.2567994,11.321,0.06653183668542659,0.004426485292736275,7.8989,11.618,1695.0,2166.0,139.6,37.1,837343.0298958825,1.0,180.53434335352168,16.507374039996073,0.6992831256670954,CoRoT
26,CoRoT-30 b,9.06005,11.31,0.11394375654530894,0.012983179655656634,21.0,13.562,871.8,1114.1,6.6,0.5,2033077.9930160164,1.0,441.93645806837236,6.831250722189565,2.985614885223962,CoRoT
27,CoRoT-31 b,4.62941,16.365,0.0697825556324398,0.004869605070594556,7.2,13.426,1502.1,1919.5,117.3,26.4,90584.68219173158,1.0,415.1067836729689,7.867773855780562,10.143512882861955,CoRoT
28,CoRoT-4 b,9.20205,13.339,0.10452176421952189,0.010924799195561326,17.094,12.288,1058.0,1352.0,23.3,2.8,477026.90640774556,1.0,245.7875217611341,14.140137507750783,28.26385453762549,CoRoT
29,CoRoT-5 b,4.0379156,14.079,0.11628351495091468,0.0135218558493396,9.54,12.546,1397.0,1785.2,188.3,37.9,124542.11644856288,1.0,276.79601329963026,26.712086673004777,66.4899708046711,CoRoT
30,CoRoT-6 b,8.886593,13.07,0.11633427392400754,0.013533663289426021,17.637,12.119,1025.0,1309.8,23.3,2.6,1386473.806023197,1.0,227.38396262623638,18.07714646709242,8.297688271987486,CoRoT
31,CoRoT-7 b,0.854,1.58,0.017244361622757484,0.00029736800777643114,4.484,9.806,1756.0,2244.0,18.2,5.1,3010.5158413192557,1.0,78.37180165257514,3.568840129139879,23.407224136100254,CoRoT
32,CoRoT-8 b,6.212445,6.938,0.07950851264913038,0.006321603583676926,13.7,11.463,870.0,1111.8,4.0,0.3,168544.07476347563,1.0,168.09694888887728,9.876503049280684,27.944003305582132,CoRoT
33,CoRoT-9 b,95.272656,11.949,0.11411156164654306,0.013021448501412796,89.9,11.688,420.0,536.7,0.0,0.0,16798952.424829807,1.0,186.44890222999385,1.6674133120903512,12.300568223696542,CoRoT
34,CoRoTID 223977153 b,6.71837,6.389,0.07414384728613199,0.005497310090389262,19.32278481012658,12.193,942.8,1204.7,5.0,0.5,230348.27095367643,1.0,235.26635862801007,6.07482877983254,29.789149275642743,CoRoT
35,DS Tuc A b,8.1387,5.63,0.05932782990422283,0.0035197914011443963,19.42,6.676,850.0,1086.2,1.5,0.1,1043929.1850606666,0.410307804273769,28.947092032745797,42.56519176672341,20.99255043112327,Transiting Exoplanet Survey Satellite (TESS)
36,EPIC 201170410.02,6.7987,1.047,0.03428135433992484,0.0011752112553794836,26.798214285714284,12.619,498.3,636.8,0.0,0.0,,1.0,286.2594487846241,0.32521898230954394,,K2
37,EPIC 201238110 b,28.1656,1.87,,,,11.933,,,,,,1.0,208.7179644871181,,,K2
38,EPIC 201497682 b,2.13174,0.692,,,,11.438,,,,,,1.0,166.17275902648902,,,K2
